LEFT CTRL,510,540
C,612,505
F,633,475
I,766,448
J,725,468
U,733,447
K,769,477
LEFT SHIFT,500,518
LEFT META,575,538
BACKTICK,468,421
1,510,426
3,574,417
4,603,418
5,650,419
6,680,423
7,707,418
8,739,416
9,777,411
0,810,408
MINUS,839,405
EQUALS,869,403
BACKSPACE,912,404
BACKSLASH,928,435
SQUARE BRACKET OPEN,893,441
SQUARE BRACKET CLOSE,868,443
P,832,441
O,805,446
Y,695,451
T,665,446
R,629,448
E,589,450
W,561,450
Q,524,446
A,533,480
S,574,480
D,594,480
G,663,469
H,691,465
L,803,473
SEMICOLON,835,470
QUOTE,873,474
RETURN,922,475
Z,559,512
X,583,507
V,653,511
B,685,506
N,714,505
M,739,506
COMMA,779,506
DOT,818,506
FORWARD SLASH,860,501
RIGHT SHIFT,909,513
SPACE,712,539
DOWN ARROW,895,546
LEFT ARROW,862,544
UP ARROW,898,524
RIGHT ALT,836,540
RIGHT META,795,542
LEFT ALT,536,539
FN,471,542
